number,type,caption,script,output_file,note
1,table,Descriptive Statistics (18-month window),03_tables.R,tab_desc_stats.tex,Main text
2,table,Prices (log): Pre-switch-period effect on group 65,03_tables.R,tab_prices.tex,Main text
3,table,Number of Participant Firms (log),03_tables.R,tab_participants.tex,Main text
4,table,Heterogeneous Effects by Item Value (18-month window),03_tables.R,tab_heterog_value.tex,Main text
5,table,Placebo Tests: Fake Treatment Dates,03_tables.R,tab_placebo.tex,Main text
B.1,table,Number of Valid Bids (log),03_tables.R,tab_validbids.tex,Appendix
B.2,table,Distance from PBUs to Winner Firms,03_tables.R,tab_distance.tex,Appendix
B.3,table,Alternative Clustering (18-month window),03_tables.R,tab_altcluster.tex,Appendix
B.4,table,Winsorized Regressions (18-month window),03_tables.R,tab_winsorize.tex,Appendix
B.5,table,Real Prices (IPCA-deflated log),03_tables.R,tab_prices_real.tex,Appendix
B.6,table,Extensive Margin: Tender Completion Rate,03_tables.R,tab_extensive.tex,Appendix
B.7,table,Price Efficiency: Final Price / Reference Price,03_tables.R,tab_efficiency.tex,Appendix
B.8,table,Winner Composition: SME Winner (binary),03_tables.R,tab_sme_winner.tex,Appendix
B.9,table,Bid Spread: Difference between 1st and 2nd Bid,03_tables.R,tab_bid_spread.tex,Appendix; conditional on data availability
B.10,table,Heterogeneous Effects by PBU Type (18-month window),03_tables.R,tab_heterog_pbu.tex,Appendix
B.11,table,Lee (2009) Bounds: Sample Selection Correction,03_tables.R,tab_lee_bounds.tex,Appendix
B.12,table,Causal Forest: Group Average Treatment Effects by CATE Quartile,03_tables.R,tab_cforest.tex,Appendix
B.13,table,Quantile DiD: Treatment Effects Across the Price Distribution,03_tables.R,tab_quantile_did.tex,Appendix
B.14,table,Gelbach (2016) Decomposition: Channels of Price Effect,03_tables.R,tab_mediation.tex,Appendix
1,figure,Log Prices: Event Study,04_figures.R,fig_01_logprices_es.pdf,Main text
A.1,figure,Distance from PBUs to Winner Firms: Event Study,04_figures.R,fig_02_distance_es.pdf,Appendix
A.2,figure,Number of Participant Firms (log): Event Study,04_figures.R,fig_03_numfirms_es.pdf,Appendix
A.3,figure,Number of Valid Bids (log): Event Study,04_figures.R,fig_04_numbids_es.pdf,Appendix
A.4,figure,Raw Trends: Mean Log Price by Month,04_figures.R,fig_05_trends_prices.pdf,Appendix
A.5,figure,Raw Trends: Mean Log Number of Firms by Month,04_figures.R,fig_06_trends_firms.pdf,Appendix
A.6,figure,Raw Trends: Mean Log Number of Valid Bids by Month,04_figures.R,fig_07_trends_bids.pdf,Appendix
A.7,figure,Raw Trends: Mean Distance (km) by Month,04_figures.R,fig_08_trends_distance.pdf,Appendix
A.8,figure,Randomization Inference: Distribution of Permuted Coefficients,04_figures.R,fig_09_permutation.pdf,Appendix
A.9,figure,SME Participation Share Among Firms (Phase 1) by Month,04_figures.R,fig_10_sme_share.pdf,Appendix
A.10,figure,HonestDiD Sensitivity Analysis,04_figures.R,fig_11_honestdid.pdf,Appendix
A.11,figure,Causal Forest: Variable Importance,04_figures.R,fig_12_cforest_varimp.pdf,Appendix
A.12,figure,Causal Forest: GATE by CATE Quartile,04_figures.R,fig_13_cforest_gate.pdf,Appendix
A.13,figure,Quantile DiD: Treatment Effects Across the Price Distribution,04_figures.R,fig_14_quantile_did.pdf,Appendix
A.14,figure,Gelbach (2016) Decomposition: Channel Contributions to Price Effect,04_figures.R,fig_15_mediation.pdf,Appendix
