dimension,level,label,n_items,share_in_surviving,share_treated,share_direct_cade,share_cobidder
modality,0,Pregão,546549,0.870778283374409,0.052884553809448,0.0219925386378897,0.00513586156044563
modality,1,Convite,1107852,0.940509201590104,0.0456270332138228,0.0193175622736611,0.00311503702660644
pbu_size,1,1,7503,0.373583899773424,0.131414101026256,0.00693056110888978,0.0151939224310276
pbu_size,2,2,87571,0.660424113005447,0.0768062486439575,0.00896415480010506,0.00892989688367154
pbu_size,3,3,302258,0.834055674291499,0.0642993733830039,0.00829754712861198,0.00841334224404317
pbu_size,4,4,1257069,0.958683254459381,0.0416086945108025,0.0239254965320122,0.00224251811157542
tender_value,1,1,434419,0.896259141520053,0.0239331152642955,0.0384950934466494,0.00107269709658187
tender_value,2,2,476570,0.899106112428395,0.0298445139224038,0.0178085066202237,0.00051828692532052
tender_value,3,3,391299,0.915034283246315,0.0356607095852532,0.0151546515580157,0.000830566906636613
tender_value,4,4,352106,0.971233094579473,0.116095721174873,0.00647816282596718,0.0148250810835373
year,2009,2009,195417,0.906026599528188,0.0453082382801906,0.013299764094219,0.00265585900919572
year,2010,2010,202986,0.881095247948134,0.0288197215571517,0.0181982993901057,0.00234991575773699
year,2011,2011,110239,0.890864394633478,0.0383258193561262,0.0187048140857591,0.00279392955306198
year,2012,2012,212965,0.938431197614632,0.0409973469818984,0.030230319536074,0.00251684549104313
year,2013,2013,221881,0.940860190823009,0.0423965999792682,0.0117991175449903,0.00251936849031688
year,2014,2014,205170,0.947677535702101,0.0528293610176926,0.0178291173173466,0.00268070380659941
year,2015,2015,146319,0.916169465346264,0.0527614322131781,0.0245217640907879,0.00499593354246543
year,2016,2016,86056,0.888061262433764,0.0457027981779307,0.0230663753834712,0.0049037835827833
year,2017,2017,173115,0.954885480749791,0.0704791612511914,0.0308985356554891,0.00712243306472576
year,2018,2018,83844,0.889771480368303,0.0749844950145508,0.0143719288201899,0.0076809312532799
year,2019,2019,16409,0.629349747090012,0.0856237430678286,0.0137119873240295,0.0170028642817966
direct_cade,0,non-CADE,1620980,0.917380226776394,0.0478568520277857,0,0.00342940690199756
direct_cade,1,direct-CADE,33421,0.921965231441309,0.0561622931689656,1,0.020914993566919
cobidder,0,non-cobidder,1648143,0.917230483034542,0.0444099814154476,0.0198538597682361,0
cobidder,1,cobidder-item,6258,0.98130393096836,1,0.11169702780441,1
