dimension,group,coef,se,pval,n,n_treat,share_direct_cade,share_cobidder
modality,0,-0.0993752657759314,0.0203893506121194,1.10662563531506e-06,475923,28481,0.0226192052075651,0.00575513265801401
modality,1,-0.0979924425556678,0.013013945547391,5.34922917337522e-14,1041945,50132,0.019240938821147,0.00326504757928681
pbu_size_q,1,-0.091289741431697,0.193555961868369,0.637350660859233,2803,810,0.00428112736353907,0.034962540135569
pbu_size_q,2,-0.131753492550016,0.0516226919261718,0.0107303850523922,57834,6477,0.00954455856416641,0.0127952415534115
pbu_size_q,3,-0.0696751886107075,0.0407518961405671,0.0873435657068456,252100,19149,0.00855216184053947,0.00991669972233241
pbu_size_q,4,-0.100451560183011,0.0117010099741283,9.91580546369784e-18,1205131,52177,0.0233111587039085,0.00232588822294008
tender_value_q,1,-0.0533925028474802,0.00714237571074828,1.00263810705061e-13,389352,10296,0.0389596046764881,0.00118401857445191
tender_value_q,2,-0.0481335085987682,0.00456601814681546,1.03434433154976e-25,428487,14140,0.0182339254166404,0.000576446893371328
tender_value_q,3,-0.0370143089149152,0.0054656040030067,1.36395884349534e-11,358052,13795,0.015682079697921,0.0008993107146448
tender_value_q,4,0.0410572096702264,0.0204696689763767,0.0449067867122731,341977,40382,0.00647996795106104,0.0149454495477766
any_direct,0,-0.0966116447758145,0.0156328885303268,6.55062172483116e-10,1487055,76752,0,0.00366697936525549
any_direct,1,-0.0611222897692972,0.0800765638778965,0.445434175896946,30813,1861,1,0.0223282380813293
any_cobidder,0,-0.107857842819754,0.012059719700673,4.13501124026047e-19,1511727,72472,0.0199275398269661,0
year,2009,-0.0085237122068351,0.0240613022196593,0.72316274504168,177053,8784,0.0133067499562278,0.0029200295956578
year,2010,0.0127771427033472,0.0435569683556226,0.769268227133328,178850,5779,0.0187922840369024,0.00261671792004473
year,2011,0.0160870021215246,0.0474946244470147,0.734838636199454,98208,4150,0.0193263277940697,0.00305474095796676
year,2012,-0.0149867576722192,0.027517207565568,0.586020103319934,199853,8682,0.0295967536139062,0.00259690872791502
year,2013,-0.0503705247392857,0.0271688441305756,0.0637730118039809,208759,9338,0.0116593775597699,0.00264898758855906
year,2014,0.00726784055063445,0.0304664452776232,0.811457869960996,194435,10801,0.0176665723763726,0.00280813639519634
year,2015,-0.153092621268463,0.0455101255562677,0.000772043049540504,134053,7637,0.0238338567581479,0.00530387234899629
year,2016,-0.0432286984881954,0.0846670588600526,0.609669888216246,76423,3844,0.0240634364000366,0.00533870693377648
year,2017,-0.0959323949738489,0.0349248020386947,0.00603021359898261,165305,12097,0.0316384864341672,0.00736819817912344
year,2018,-0.0823018724954575,0.0505056856310898,0.10325211973209,74602,6186,0.0136591512291896,0.00852524061017131
year,2019,-0.0322760761078951,0.0539300561519488,0.549610404609863,10327,1315,0.012685194151254,0.025660888931926
