dimension,comparison,mean_cobidder,mean_comparison,cohens_d,wilcoxon_p,n_cob,n_comp
tenders_count,FL_non_cobidder,136.471204188482,76.6517295597484,0.665431258284005,1.75399124963182e-15,191,2544
tenders_count,AL_non_FL,136.471204188482,12.1185143181174,4.62575110311612,3.70461755734086e-110,191,14108
tenders_count,winner_other,136.471204188482,1603.31957167868,-0.133076624529159,4.83886874608306e-07,191,24561
unique_winners,FL_non_cobidder,24.8115183246073,13.5435553803705,0.999193953617184,9.43710872341864e-23,191,2537
unique_winners,AL_non_FL,24.8115183246073,2.41136311916863,7.10223431566697,4.27714138344853e-136,191,13183
unique_winners,winner_other,24.8115183246073,46.8297967789691,-0.228323727099563,0.434521818612589,191,22291
share_repeat_5,FL_non_cobidder,0.216067210369834,0.333868662651899,-0.38048088888067,7.84330204485707e-07,191,2537
share_repeat_5,AL_non_FL,0.216067210369834,0.0262968618385592,1.33360469606998,3.09797378675012e-217,191,13183
share_repeat_5,winner_other,0.216067210369834,0.412236504662151,-0.555331924857081,7.78295013597103e-13,191,22291
pairs_at_least_5,FL_non_cobidder,2.28272251308901,1.6791486007095,0.194750705462247,0.020867890169966,191,2537
pairs_at_least_5,AL_non_FL,2.28272251308901,0.0377000682697413,3.14752190914438,2.89427709426752e-238,191,13183
pairs_at_least_5,winner_other,2.28272251308901,13.0374142030416,-0.289901596857222,2.01748885914617e-13,191,22291
share_facing_direct_cade,FL_non_cobidder,0.0146491979979572,0.00171945812408271,0.462732415553682,1.36242912063797e-70,191,2537
share_facing_direct_cade,AL_non_FL,0.0146491979979572,0.00181101716222705,0.364970831418463,8.52506213416501e-305,191,13183
share_facing_direct_cade,winner_other,0.0146491979979572,0.00274436539274363,0.416297366115986,1.95945214894971e-22,191,22291
item_group_HHI,FL_non_cobidder,0.379883200019604,0.287643558399418,0.394790812473872,1.55009514194811e-13,191,2537
item_group_HHI,AL_non_FL,0.379883200019604,0.719156023757826,-1.08754581370407,1.10900598451347e-50,191,13183
item_group_HHI,winner_other,0.379883200019604,0.293999738747706,0.300489541196103,7.41414153769734e-16,191,22291
n_item_groups,FL_non_cobidder,7.6020942408377,9.52700039416634,-0.317953282780866,3.40696397777042e-07,191,2537
n_item_groups,AL_non_FL,7.6020942408377,2.09899112493363,3.17707647396249,4.87865984728741e-99,191,13183
n_item_groups,winner_other,7.6020942408377,17.6010048898659,-0.597789192807277,1.27618919070769e-12,191,22291
