counterfactual,metric,value,unit
CF1_remove_min_bidder,n_constrained_tenders,47611,tenders
CF1_remove_min_bidder,n_pure_cover_tenders,28561,tenders
CF1_remove_min_bidder,fraction_constraint_binds,0.3924,fraction
CF1_remove_min_bidder,welfare_gain_ols_BRL,74153139,BRL
CF1_remove_min_bidder,welfare_gain_iv_BRL,210925395,BRL
CF1_remove_min_bidder,welfare_gain_pure_cover_ols_BRL,40462168,BRL
CF2_optimal_threshold,net_welfare_cost100k_BRL,134719688,BRL
CF2_optimal_threshold,optimal_multiplier_cost100k,1.6,IQR_multiplier
CF2_optimal_threshold,optimal_n_flagged_cost100k,2537,firms
CF2_optimal_threshold,net_welfare_cost1M_BRL,-634537871,BRL
CF3_theta_increase,elasticity_m_theta,0.316,log_log
CF3_theta_increase,welfare_gain_10pct_theta_ols_BRL,23508439,BRL
CF3_theta_increase,welfare_gain_50pct_theta_ols_BRL,117542197,BRL
CF3_theta_increase,welfare_gain_10pct_theta_iv_BRL,66868738,BRL
